0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500 1600 1700 1800 1900 2000 2100 2200 2300 2400 2500 2600 2700 2800 2900 3000 3100 3200 3300 3400 3500 3600 3700 3800 3900 4000 4100 4200 4300 4400 4500 4600 4700 4800 4900 5000 5100 5200 5300 5400 5500 5600 5700 5800 5900 6000 6100 6200 6300 
6012 6112 6212 6312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
16 116 216 316 416 516 616 716 816 916 1016 1116 1216 1316 1416 1516 1616 1716 1816 1916 2016 2116 2216 2316 2416 2516 2616 2716 2816 2916 3016 3116 3216 3316 3416 3516 3616 3716 3816 3916 4016 4116 4216 4316 4416 4516 4616 4716 4816 4916 5016 5116 5216 5316 5416 5516 5616 5716 5816 5916 6016 6116 6216 6316 
6023 6123 6223 6323 417 517 617 717 817 917 1017 1117 1217 1317 1417 1517 1617 1717 1817 1917 2017 2117 2217 2317 2417 2517 2617 2717 2817 2917 3017 3117 3217 3317 3417 3517 3617 3717 3817 3917 4017 4117 4217 4317 4417 4517 4617 4717 4817 4917 5017 5117 5217 5317 5417 5517 5617 5717 5817 5917 6017 6117 6217 6317 
6022 6122 6222 6322 418 518 618 718 818 918 1018 1118 1218 1318 1418 1518 1618 1718 1818 1918 2018 2118 2218 2318 2418 2518 2618 2718 2818 2918 3018 3118 3218 3318 3418 3518 3618 3718 3818 3918 4018 4118 4218 4318 4418 4518 4618 4718 4818 4918 5018 5118 5218 5318 5418 5518 5618 5718 5818 5918 6018 6118 6218 6318 
6021 6121 6221 6321 419 519 619 719 819 919 1019 1119 1219 1319 1419 1519 1619 1719 1819 1919 2019 2119 2219 2319 2419 2519 2619 2719 2819 2919 3019 3119 3219 3319 3419 3519 3619 3719 3819 3919 4019 4119 4219 4319 4419 4519 4619 4719 4819 4919 5019 5119 5219 5319 5419 5519 5619 5719 5819 5919 6019 6119 6219 6319 
6020 6120 6220 6320 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
24 124 224 324 424 524 624 724 824 924 1024 1124 1224 1324 1424 1524 1624 1724 1824 1924 2024 2124 2224 2324 2424 2524 2624 2724 2824 2924 3024 3124 3224 3324 3424 3524 3624 3724 3824 3924 4024 4124 4224 4324 4424 4524 4624 4724 4824 4924 5024 5124 5224 5324 5424 5524 5624 5724 5824 5924 6024 6124 6224 6324 
6031 6131 6231 6331 425 525 625 725 825 925 1025 1125 1225 1325 1425 1525 1625 1725 1825 1925 2025 2125 2225 2325 2425 2525 2625 2725 2825 2925 3025 3125 3225 3325 3425 3525 3625 3725 3825 3925 4025 4125 4225 4325 4425 4525 4625 4725 4825 4925 5025 5125 5225 5325 5425 5525 5625 5725 5825 5925 6025 6125 6225 6325 
6030 6130 6230 6330 426 526 626 726 826 926 1026 1126 1226 1326 1426 1526 1626 1726 1826 1926 2026 2126 2226 2326 2426 2526 2626 2726 2826 2926 3026 3126 3226 3326 3426 3526 3626 3726 3826 3926 4026 4126 4226 4326 4426 4526 4626 4726 4826 4926 5026 5126 5226 5326 5426 5526 5626 5726 5826 5926 6026 6126 6226 6326 
6029 6129 6229 6329 427 527 627 727 827 927 1027 1127 1227 1327 1427 1527 1627 1727 1827 1927 2027 2127 2227 2327 2427 2527 2627 2727 2827 2927 3027 3127 3227 3327 3427 3527 3627 3727 3827 3927 4027 4127 4227 4327 4427 4527 4627 4727 4827 4927 5027 5127 5227 5327 5427 5527 5627 5727 5827 5927 6027 6127 6227 6327 
6028 6128 6228 6328 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
32 132 232 332 432 532 632 732 832 932 1032 1132 1232 1332 1432 1532 1632 1732 1832 1932 2032 2132 2232 2332 2432 2532 2632 2732 2832 2932 3032 3132 3232 3332 3432 3532 3632 3732 3832 3932 4032 4132 4232 4332 4432 4532 4632 4732 4832 4932 5032 5132 5232 5332 5432 5532 5632 5732 5832 5932 6032 6132 6232 6332 
6039 6139 6239 6339 433 533 633 733 833 933 1033 1133 1233 1333 1433 1533 1633 1733 1833 1933 2033 2133 2233 2333 2433 2533 2633 2733 2833 2933 3033 3133 3233 3333 3433 3533 3633 3733 3833 3933 4033 4133 4233 4333 4433 4533 4633 4733 4833 4933 5033 5133 5233 5333 5433 5533 5633 5733 5833 5933 6033 6133 6233 6333 
6038 6138 6238 6338 434 534 634 734 834 934 1034 1134 1234 1334 1434 1534 1634 1734 1834 1934 2034 2134 2234 2334 2434 2534 2634 2734 2834 2934 3034 3134 3234 3334 3434 3534 3634 3734 3834 3934 4034 4134 4234 4334 4434 4534 4634 4734 4834 4934 5034 5134 5234 5334 5434 5534 5634 5734 5834 5934 6034 6134 6234 6334 
6037 6137 6237 6337 435 535 635 735 835 935 1035 1135 1235 1335 1435 1535 1635 1735 1835 1935 2035 2135 2235 2335 2435 2535 2635 2735 2835 2935 3035 3135 3235 3335 3435 3535 3635 3735 3835 3935 4035 4135 4235 4335 4435 4535 4635 4735 4835 4935 5035 5135 5235 5335 5435 5535 5635 5735 5835 5935 6035 6135 6235 6335 
6036 6136 6236 6336 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
40 140 240 340 440 540 640 740 840 940 1040 1140 1240 1340 1440 1540 1640 1740 1840 1940 2040 2140 2240 2340 2440 2540 2640 2740 2840 2940 3040 3140 3240 3340 3440 3540 3640 3740 3840 3940 4040 4140 4240 4340 4440 4540 4640 4740 4840 4940 5040 5140 5240 5340 5440 5540 5640 5740 5840 5940 6040 6140 6240 6340 
6047 6147 6247 6347 441 541 641 741 841 941 1041 1141 1241 1341 1441 1541 1641 1741 1841 1941 2041 2141 2241 2341 2441 2541 2641 2741 2841 2941 3041 3141 3241 3341 3441 3541 3641 3741 3841 3941 4041 4141 4241 4341 4441 4541 4641 4741 4841 4941 5041 5141 5241 5341 5441 5541 5641 5741 5841 5941 6041 6141 6241 6341 
6046 6146 6246 6346 442 542 642 742 842 942 1042 1142 1242 1342 1442 1542 1642 1742 1842 1942 2042 2142 2242 2342 2442 2542 2642 2742 2842 2942 3042 3142 3242 3342 3442 3542 3642 3742 3842 3942 4042 4142 4242 4342 4442 4542 4642 4742 4842 4942 5042 5142 5242 5342 5442 5542 5642 5742 5842 5942 6042 6142 6242 6342 
6045 6145 6245 6345 443 543 643 743 843 943 1043 1143 1243 1343 1443 1543 1643 1743 1843 1943 2043 2143 2243 2343 2443 2543 2643 2743 2843 2943 3043 3143 3243 3343 3443 3543 3643 3743 3843 3943 4043 4143 4243 4343 4443 4543 4643 4743 4843 4943 5043 5143 5243 5343 5443 5543 5643 5743 5843 5943 6043 6143 6243 6343 
6044 6144 6244 6344 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
48 148 248 348 448 548 648 748 848 948 1048 1148 1248 1348 1448 1548 1648 1748 1848 1948 2048 2148 2248 2348 2448 2548 2648 2748 2848 2948 3048 3148 3248 3348 3448 3548 3648 3748 3848 3948 4048 4148 4248 4348 4448 4548 4648 4748 4848 4948 5048 5148 5248 5348 5448 5548 5648 5748 5848 5948 6048 6148 6248 6348 
6055 6155 6255 6355 449 549 649 749 849 949 1049 1149 1249 1349 1449 1549 1649 1749 1849 1949 2049 2149 2249 2349 2449 2549 2649 2749 2849 2949 3049 3149 3249 3349 3449 3549 3649 3749 3849 3949 4049 4149 4249 4349 4449 4549 4649 4749 4849 4949 5049 5149 5249 5349 5449 5549 5649 5749 5849 5949 6049 6149 6249 6349 
6054 6154 6254 6354 450 550 650 750 850 950 1050 1150 1250 1350 1450 1550 1650 1750 1850 1950 2050 2150 2250 2350 2450 2550 2650 2750 2850 2950 3050 3150 3250 3350 3450 3550 3650 3750 3850 3950 4050 4150 4250 4350 4450 4550 4650 4750 4850 4950 5050 5150 5250 5350 5450 5550 5650 5750 5850 5950 6050 6150 6250 6350 
6053 6153 6253 6353 451 551 651 751 851 951 1051 1151 1251 1351 1451 1551 1651 1751 1851 1951 2051 2151 2251 2351 2451 2551 2651 2751 2851 2951 3051 3151 3251 3351 3451 3551 3651 3751 3851 3951 4051 4151 4251 4351 4451 4551 4651 4751 4851 4951 5051 5151 5251 5351 5451 5551 5651 5751 5851 5951 6051 6151 6251 6351 
6052 6152 6252 6352 0 0 1994752 0 1993340 0 1993340 0 0 0 5 0 4091904 0 4116480 0 4114528 0 4131552 0 1994752 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 54337904 32564 0 0 0 0 0 0 8192 0 1178 0 0 0 0 0 54337904 32564 1 0 52176663 32564 0 0 0 0 9 0 52114753 32564 48085680 32765 31 0 54341376 32564 47 0 205423673 22021 52089719 0 1667393900 779055918 0 0 48086064 32765 52113870 32564 54120448 32564 48086064 32765 2147479968 3 52094023 32564 
1 0 0 3 48085248 32765 52136180 32564 52062944 32564 48027624 32564 0 0 52101181 32564 48086224 32765 1 0 48085248 32765 5286386 0 54337856 32564 54341376 32564 0 3 205423673 22021 2049 0 5286386 0 1 0 33261 0 0 0 0 0 2030928 0 4096 0 3968 0 1648877099 0 639013046 0 1643028824 0 0 0 1646392698 0 558555605 0 0 0 
0 0 0 0 48086232 32765 205423673 22021 54337904 32564 0 0 54333536 32564 48086224 32765 0 0 52101548 32564 1 0 0 0 48086216 32765 0 0 0 0 1 0 0 0 10 0 54341376 32564 48086048 32765 48086208 32765 48086207 32765 0 0 0 0 0 0 0 0 54341376 32564 48088544 32765 832 0 1179403647 50397442 0 0 4063235 1 
56 156 256 356 456 556 656 756 856 956 1056 1156 1256 1356 1456 1556 1656 1756 1856 1956 2056 2156 2256 2356 2456 2556 2656 2756 2856 2956 3056 3156 3256 3356 3456 3556 3656 3756 3856 3956 4056 4156 4256 4356 4456 4556 4656 4756 4856 4956 5056 5156 5256 5356 5456 5556 5656 5756 5856 5956 6056 6156 6256 6356 
6063 6163 6263 6363 457 557 657 757 857 957 1057 1157 1257 1357 1457 1557 1657 1757 1857 1957 2057 2157 2257 2357 2457 2557 2657 2757 2857 2957 3057 3157 3257 3357 3457 3557 3657 3757 3857 3957 4057 4157 4257 4357 4457 4557 4657 4757 4857 4957 5057 5157 5257 5357 5457 5557 5657 5757 5857 5957 6057 6157 6257 6357 
6062 6162 6262 6362 458 558 658 758 858 958 1058 1158 1258 1358 1458 1558 1658 1758 1858 1958 2058 2158 2258 2358 2458 2558 2658 2758 2858 2958 3058 3158 3258 3358 3458 3558 3658 3758 3858 3958 4058 4158 4258 4358 4458 4558 4658 4758 4858 4958 5058 5158 5258 5358 5458 5558 5658 5758 5858 5958 6058 6158 6258 6358 
6061 6161 6261 6361 459 559 659 759 859 959 1059 1159 1259 1359 1459 1559 1659 1759 1859 1959 2059 2159 2259 2359 2459 2559 2659 2759 2859 2959 3059 3159 3259 3359 3459 3559 3659 3759 3859 3959 4059 4159 4259 4359 4459 4559 4659 4759 4859 4959 5059 5159 5259 5359 5459 5559 5659 5759 5859 5959 6059 6159 6259 6359 
6060 6160 6260 6360 54338760 32564 0 0 48087760 32765 7 0 -1 0 54337904 32564 47952144 32564 54120448 32564 0 0 0 0 2 0 48226888 32765 0 32 0 0 0 0 52067944 32564 48087760 32765 7 0 52065408 32564 54335984 32564 7 8 52116649 32564 1 0 52116921 32564 54335984 32564 54341376 32564 54120448 32564 0 0 48087712 32765 0 0 
0 0 0 0 52066032 32564 54338760 32564 48087712 32765 52064256 32564 52066580 32564 52065216 32564 54333512 32564 0 0 0 0 54335984 32564 47952144 32564 0 0 52066816 32564 1152 0 39 0 0 0 0 0 0 0 0 0 0 0 1 0 -1018991291 22214 0 0 54337904 32564 54337904 32564 52165944 32564 48088256 32765 52081911 32564 0 0 0 0 
1 0 54339368 32564 54337792 32564 1 0 54125760 32564 52109583 32564 54339344 32564 0 0 0 0 48227032 32765 26577600 0 49714823 32564 48088336 32765 48226696 32765 2 32564 0 0 48088176 32765 3 0 48088160 32765 0 0 54339384 32564 0 0 1 0 54339344 32564 0 0 1700966438 0 54340248 32564 48088328 32765 48088384 32765 54339344 32564 0 0 52110239 32564 
0 0 48088384 32765 0 0 0 0 0 0 54339344 32564 49714823 32564 832 0 48088160 32765 48088176 32765 54340248 32564 0 0 0 0 0 0 -1 0 0 0 48226984 32765 54339344 32564 0 0 0 0 0 0 0 0 9 0 52074080 32564 48088344 32765 15775231 0 1 0 205428701 22021 52132672 32564 0 0 205428624 22021 205424608 22021 
